,0,1,2,3,4,5,6,7,8,9,10
0,623,451,499,519,479,451,519,499,519,449,532
1,691,485,404,502,403,502,404,530,485,502,491
2,609,474,447,474,447,406,474,484,427,469,440
3,772,622,702,684,729,638,641,641,718,702,655
4,602,359,362,350,350,354,323,323,341,323,323
5,670,509,455,475,452,452,344,509,310,526,475
6,538,454,413,465,457,431,436,456,436,436,436
7,472,260,277,234,260,234,243,243,277,226,207
8,734,643,643,643,634,634,486,576,560,521,634
9,676,251,269,222,179,269,270,272,247,185,251
10,555,436,460,425,425,400,425,474,425,436,398
11,611,410,419,410,409,402,416,425,409,410,410
